instruction,input,response
Combien de fois la Karmine Corp a-t-elle remporté le championnat européen ?,segment d'été,deux fois
Combien de fois la Karmine Corp a-t-elle remporté le titre au segment de printemps en 2022 ?,printemps 2022,trois fois
Quelle équipe a remporté la ligue française et les EMEA Masters en 2023?,saison 2023,l'équipe a remporté la ligue française et les EMEA Masters en 2023 est mentionnée dans le texte.
Combien de fois l'équipe a remporté les EMEA Masters?,,l'équipe a remporté les EMEA Masters pour la quatrième fois.
Quelle ligue la section League of Legends a-t-elle rejoint en 2023?,,"la section League of Legends a rejoint la première division européenne, les League of Legends EMEA Championship (LEC)."
Avec qui l'équipe a-t-elle signé un accord pour acquérir une place dans les LEC?,équipe danoise Astralis,l'équipe a signé un accord avec l'équipe danoise Astralis pour acquérir une place dans les LEC.
Où la structure a-t-elle établi des locaux pour développer la section Valorant?,Berlin,la structure a établi des locaux à Berlin pour développer la section Valorant.
Quel est le nom de l'événement organisé par la structure en 2021?,,Le premier Karmine Corp Experience (KCX)
Où s'est déroulée la deuxième édition du KCX en 2022?,,La deuxième édition du KCX en 2022 s'est déroulée au Palais omnisports de Paris-Bercy
Combien de spectateurs ont assisté au KCX3 en 2023?,,Plus de 28 000 spectateurs ont assisté au KCX3 en 2023 à la Paris La Défense Arena
En quelle année le club est devenu résident des Arènes de l'Agora?,,Le club est devenu résident des Arènes de l'Agora en 2024
Quelle nouvelle équipe du club a pris la place laissée vacante en LFL en 2024?,,"La nouvelle équipe du club, Karmine Corp Blue"
Quelle est la date de création de la structure d'e-sport Kameto Corp?,,Le 30 mars 2020
Qui sont les cinq premiers joueurs de la structure Kameto Corp?,,"Adam « Adam » Maanane, Philippe « Akabane » Le, Ilias « Nuclearint » Bizriken, Julien « jujutw0 » Izzo et Jérémy « Helaz » François"
Quelle est la nouvelle appellation de la structure Kameto Corp?,,Karmine Corp
Qui est le seul joueur conservé lors du passage de la Division 2 à la LFL pour la structure Karmine Corp?,,Adam « Adam » Maanane
Quelle est la date de l'annonce de l'équipe?,,Le 23 décembre 2020
Qui est le jungler de la Karmine?,,Jakub « Cinkrof » Rokicki
Quelle est la nationalité de Jakub « Cinkrof » Rokicki?,,polonais
Qui est le mid laner de la Karmine?,,Lucas « Saken » Fayard
Quelle équipe Lucas « Saken » Fayard a-t-il joué avant de rejoindre la Karmine?,Team Vitality,Team Vitality
Qui est l'AD Carry de la Karmine?,,Matthew « xMatty » Coombs
Qui est le support de la Karmine?,,Raphaël «Targamas » Crabbé
Quelle équipe Raphaël «Targamas » Crabbé a-t-il été champion de France avec l'année précédente?,Misfits Premier,Misfits Premier
Qui est le coach de l'équipe Karmine?,,Yanis « Striker » Kella
Quelle équipe a remporté le championnat ?,,"La Karmine Corp a remporté le championnat.

-"
Quel était le bilan de victoires et défaites de la Karmine Corp au début de la saison ?,,"La Karmine Corp avait trois victoires pour deux défaites au début de la saison.

-"
Contre quelle équipe la Karmine Corp a-t-elle remporté le derby avec des audiences records ?,,"La Karmine Corp a remporté le derby contre Solary avec des audiences records.

-"
Avec quelle équipe la Karmine Corp a fini à égalité en tête du classement de la saison régulière ?,Misfits Premier,"La Karmine Corp a fini à égalité en tête du classement de la saison régulière avec Misfits Premier.

-"
Qui a remporté le tie-break pour la première place entre la Karmine Corp et Misfits Premier ?,,"La Karmine Corp a remporté le tie-break pour la première place entre les deux équipes.

-"
Combien de rencontres la Karmine Corp a-t-elle perdu au total ?,,"La Karmine Corp a perdu 3 rencontres au total.

-"
Quel était le résultat de la finale du championnat pour la Karmine Corp ?,,La Karmine Corp a remporté la finale du championnat avec un score de 3-0.
Qui a remporté la compétition européenne European Masters ?,,La Karmine Corp a remporté la compétition européenne European Masters.
Contre qui la Karmine Corp a-t-elle joué en quarts de finale ?,,La Karmine Corp a affronté l'équipe serbe des ŠAIM SE SuppUp en quarts de finale.
Qui a été désigné comme le meilleur joueur de la Karmine Corp lors de la demi-finale ?,,"Le midlaner de la Karmine Corp, Saken, a été désigné comme le meilleur joueur lors de la demi-finale."
Quelle équipe la Karmine Corp a-t-elle battu en finale pour remporter le trophée ?,,La Karmine Corp a battu les Anglais de BT Excel en finale pour remporter le trophée.
Quelle reconnaissance spéciale la victoire de la Karmine Corp a-t-elle reçu ?,,La victoire de la Karmine Corp a valu les félicitations du président de la République Emmanuel Macron par message privé sur Twitter.
Quel est le score final du match entre la Karmine Corp et Vitality.Bee?,,"La Karmine Corp a renversé Vitality.Bee avec un score de 3-2.
    
-"
Quelle équipe était menée 2-0 au début du match?,,"La Karmine Corp était menée 2-0 au début du match.
    
-"
Contre qui la Karmine Corp s'est-elle qualifiée pour la finale à Monaco?,,"La Karmine Corp s'est qualifiée pour la finale à Monaco contre Misfits Premier.
    
-"
Quel événement se déroule juste après la victoire de la Karmine Corp en Coupe de France?,,La compétition européenne débute juste après la victoire de la Karmine Corp en Coupe de France.
Quelle équipe a dominé sa poule et le UCAM Esports Club en quarts-de-finale ?,,Karmine Corp
Contre quelle équipe la Karmine Corp a-t-elle joué en quarts-de-finale et avec quel résultat ?,,"UCAM Esports Club, victoire 3-0"
"Qui a recruté l'ancien jungler de la Kameto Corp en Division 2, Akabane ?",,Berlin International Gaming
Quelle équipe a finalement battu Berlin International Gaming pour se qualifier ?,,Karmine Corp
Quelle équipe a éliminé les Misfits Premier en demi-finale ?,,Fnatic Rising
Quel était le score dans la finale entre la Karmine Corp et les Fnatic Rising ?,,"3-2, victoire de la Karmine Corp"
Quelle équipe a remporté ses seconds European Masters ?,,Karmine Corp
Quel est le résultat du dernier match de la Karmine Corp en finale de la Coupe de France en 2021?,none,"défaite 3-2 contre Misfits Premier, laissant Misfits Premier repartir avec le titre de meilleure équipe de France en 2021"
Quel est le bilan de la Karmine Corp lors de la saison 2021 en LFL?,none,la Karmine Corp a terminé la saison LFL avec un bilan de 14 victoires et 5 défaites
Quel était le score de la Karmine Corp lors de la Coupe de France en 2021 face à Vitality.Bee?,none,la Karmine Corp a remporté le match avec un score final de 3-2
Quel adversaire la Karmine Corp a-t-elle affronté en demi-finale de la Coupe de France en 2021?,none,la Karmine Corp a affronté l'équipe Vitality.Bee en demi-finale de la Coupe de France en 2021
Qui sont les joueurs qui ont quitté l'équipe lors de la conférence de presse du 15 novembre 2021 ?,Date de la conférence de presse (15 novembre 2021),"Cinkrof, Targamas et xMatty ont quitté l'équipe lors de la conférence de presse du 15 novembre 2021."
Quel joueur suédois a rejoint la Karmine Corp en provenance de chez G2 Esports ?,Aucune information supplémentaire nécessaire,Martin « Rekkles » Larsson a rejoint la Karmine Corp en provenance de chez G2 Esports.
Combien a coûté le transfert de Martin « Rekkles » Larsson à la Karmine Corp ?,Aucune information supplémentaire nécessaire,Le transfert de Martin « Rekkles » Larsson aurait coûté près d'un million d'euros à la Karmine Corp.
Quels joueurs ont complété le roster de l'équipe après l'arrivée de Martin « Rekkles » Larsson ?,Aucune information supplémentaire nécessaire,"Le roster a été complété par la prolongation d'un an de Cabochard, le maintien de Saken, ainsi que par les arrivées de Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (aussi surnommé Bumm) et Wao « Wao » Dai comme joueur remplaçant."
Qui a fondé l'équipe e-sport KOI ?,Aucune,"Le streamer espagnol Ibai Llanos et le footballeur Gérard Piqué ont fondé l'équipe e-sport KOI.

-"
Où s'est déroulé le premier match de la Karmine Corp ?,Aucune,"Le premier match de la Karmine Corp s'est déroulé à Barcelone.

-"
Quel est le résultat du premier match entre la Karmine Corp et les KOI ?,Aucune,"La Karmine perd 2-1 contre les KOI lors du premier match.

-"
Où a eu lieu le match retour entre la Karmine et les KOI ?,Aucune,"Le match retour a eu lieu au Carrousel du Louvre à Paris.

-"
Quel est le sponsor principal maillot de la Karmine ?,Aucune,Le sponsor principal maillot de la Karmine est Orange.
Quelle équipe a débuté de manière difficile dans le championnat?,,"La Karmine Corp a débuté de manière difficile dans le championnat, perdant quatre de ses six premiers matchs."
Où s'est déroulée la 4e semaine du championnat?,,La 4e semaine du championnat s'est déroulée à l'Acropolis de Nice.
Contre quelles équipes la Karmine Corp a-t-elle remporté des victoires écrasantes lors de la 4e semaine du championnat?,,La Karmine Corp a remporté des victoires écrasantes contre GameWard et Vitality.Bee lors de la 4e semaine du championnat.
Qui a réalisé un Pentakill lors de la 4e semaine du championnat?,,Rekkles a réalisé un Pentakill lors de la 4e semaine du championnat.
Où la Karmine Corp a-t-elle terminé à la fin de la saison régulière?,,La Karmine Corp a terminé deuxième de la saison régulière.
Quelle équipe a battu la Karmine Corp lors des play-offs de LFL?,play-offs de LFL,LDLC OL et Team BDS Academy ont battu la Karmine Corp lors des play-offs de LFL.
Quelle était la performance de la Karmine Corp lors des play-offs de LFL?,play-offs de LFL,La Karmine Corp a terminé 3e de la saison de LFL.
Qu'est-ce qu'un BO5?,,"Un BO5 est un best of 5, où le premier qui gagne trois des cinq parties gagne le match."
Quelle équipe a remporté les Amazon European Masters ?,aucune information supplémentaire nécessaire,Karmine Corp
Quel était le résultat du match en quarts-de-finale entre la KC et l'équipe académique d'Unicorns of Love ?,aucune information supplémentaire nécessaire,3-1 (victoire de la KC)
Contre quelle équipe la KC a-t-elle joué en demi-finale des European Masters ?,aucune information supplémentaire nécessaire,Vitality.Bee
Quel était le score final du match entre la KC et Vitality.Bee en demi-finale ?,aucune information supplémentaire nécessaire,3-2 (victoire de la KC)
Quelle équipe la KC a-t-elle affrontée en finale des European Masters ?,aucune information supplémentaire nécessaire,LDLC OL
Quel était le résultat final de la finale des European Masters entre la KC et LDLC OL ?,aucune information supplémentaire nécessaire,3-1 (victoire de la KC)
Quelle équipe a remporté cinq victoires sur six rencontres en début du segment d'été ?,début du segment d'été,La Karmine Corp
Où la Karmine Corp a-t-elle joué son match de saison régulière contre Misfits Premier ?,match de saison régulière contre Misfits Premier,À l'Accor Arena
Combien de spectateurs étaient présents lors du match entre la Karmine Corp et Misfits Premier à l'Accor Arena ?,match entre la Karmine Corp et Misfits Premier à l'Accor Arena,Plus de 12 000 spectateurs
Comment la série de victoires de la Karmine Corp s'est-elle terminée ?,série de victoires de la Karmine Corp,Par une défaite
Comment la Karmine Corp a-t-elle terminé sa saison régulière ?,fin de la saison régulière,6e
Comment la Karmine Corp a-t-elle pu se qualifier pour les play-offs ?,qualification pour les play-offs,En attendant la dernière semaine
Contre quelle équipe la Karmine Corp a-t-elle été opposée pour se qualifier pour les Amazon European Masters ?,qualification pour les Amazon European Masters,Les Boulonnais de GameWard
Qui rejoint la Karmine Corp en tant que jungler pour la saison 2023 ?,,"Duncan « Skeanz » Marquet

-"
Qui rejoint la Karmine Corp en tant qu'ADC pour la saison 2023 ?,,"Hasan « Kaori » Sentürk

-"
Qui rejoint la Karmine Corp en tant que support pour la saison 2023 ?,,"Alexandru « whiteinn » Kolozsvari

-"
Qui sont les deux autres joueurs français qui rejoignent la Karmine Corp pour la saison 2023 ?,,"Lucas « Cabochard » Simon-Meslet et Lucas « Saken » Fayard

-"
Qui rejoint Clément « Nalkya » Guillemard et Rehareha « Reha » Ramanana comme entraîneur de l'équipe de la Karmine Corp pour la saison 2023 ?,,"Stefan « Nerroh » Pereira

-"
Qui rejoint Kameto et Prime en tant que directeur de la structure ?,,Arthur Perticoz
Quelle équipe a pris la 1re place du classement lors du Summer Split 2023?,,l'équipe de la restructuration
Quelle équipe a battu BK ROG lors du Summer Split 2023?,,l'équipe
Qui a battu le record d'éliminations sur une saison régulière lors du Summer Split?,"Caliste, date été 2023",Caliste
Qui a battu le record d'assistances lors du Summer Split?,Targamas,Targamas
Quelle équipe a remporté son deuxième titre de champion de France le 11 août 2023?,,la Karmine
Contre quelle équipe la Karmine s'est-elle imposée en demi-finales du Summer Split 2023 des EMEA Master?,"Team GO, date 1er septembre 2023",la structure française Team GO
Contre quelle équipe la Karmine a-t-elle joué en finale du Summer Split 2023 des EMEA Master?,"Movistar Riders, date 1er septembre 2023",l'équipe espagnole Movistar Riders
Qui est mis sur le banc comme jungler ?,post de jungler,Zhou « Bo » Yang-Bo
Quel est le nom du nouveau jungler appelé à rejoindre les rangs de la KC ?,,Can « Closer » Çelik
Qui est le toplaner recruté au profit de Lucas « Cabochard » Simon-Meslet ?,,Kim « Canna » Chang-Dong
Qui sera promu de l'équipe LFL KarmineCorp Blue pour prendre la place de Lucas « Saken » Fayard au poste de midlaner ?,,Vladimiros « Vladi » Kourtidis
Quel joueur de la Karmine Corp est devenu le tout premier champion du monde de Teamfight Tactics ?,Teamfight Tactics,Emre « Double61 » Demirtas
Quel événement a remporté Emre « Double61 » Demirtas pour devenir champion du monde de Teamfight Tactics ?,,Teamfight Tactics Galaxies Championship
Quel est le nom du deuxième joueur engagé par l'équipe Teamfight Tactics en début d'année 2021 ?,,Muhammed « CanbizZ » Canbaz
D'où viennent les joueurs Emre « Double61 » Demirtas et Muhammed « CanbizZ » Canbaz ?,,"du département de l'Orne, et sont cousins."
Quel événement a marqué la présentation de la quatrième équipe de la Karmine Corp sur Rocket League ?,,La Karmine Corp a annoncé la création de sa quatrième équipe sur Rocket League lors de la Karmine Corp Xperience (ou KCX) le 26 juillet 2021.
Qui sont les trois joueurs de la nouvelle équipe de la Karmine Corp sur Rocket League ?,,"Les trois joueurs de la nouvelle équipe de la Karmine Corp sur Rocket League sont Maëllo « AztraL » Ernst, Marc « Stake » Bosch et Amine « itachi » Benayashi."
Quelle équipe a remporté son premier trophée sur Rocket League lors du WePlay e-sport Invitational ?,Aucune,La Karmine Corp
Contre quelle équipe la Karmine Corp a-t-elle remporté la victoire pour obtenir son premier trophée sur Rocket League ?,Aucune,Team BDS
Quel était le score de la finale de l'arbre des gagnants entre la Karmine Corp et Team BDS ?,Aucune,4-1
Quelle était la particularité du format de la finale du tournoi ?,Aucune,"Deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants"
Combien de membres de l'équipe partagent une dotation de 15 000 dollars ?,Aucune,Les différents membres de l'équipe
Qui est le nouveau joueur recruté par la Karmine Corp en avril 2022 pour remplacer Stake ?,date (avril 2022),Joseph « noly » Kidd
Quel est le nouveau rôle de Wagner « Eversax » Benjamin au sein de la Karmine Corp ?,nom du joueur (Wagner « Eversax » Benjamin),Il passe de remplaçant à coach principal
Quel est le nom du coach qui assiste Wagner « Eversax » Benjamin ?,nom du coach (Arleyobi),Arleyobi
Qui a rejoint la KCorp en remplacement d'Aztral et Noly pour la saison à venir ?,"Aztral, Noly","Vatira, Exotiik"
Quel joueur de la KCorp a été désigné meilleur joueur offensif du Major d'Hiver 2023 ?,Major d'Hiver 2023,Vatira
Quel événement a marqué le point culminant de l'histoire de la KCorp en RLCS ?,9 avril 2023,Victoire 4-2 contre Faze en finale
Quels sont les résultats de la Karmine Corp lors des compétitions mentionnées dans le texte ?,,"La Karmine Corp a fait quatrième, deuxième, puis quatrième lors des régionaux européens, a remporté le match d'exhibition des Jeux Olympiques d'esport contre Gen.G, a obtenu une troisième place lors du Spring Split, et finira à la quatrième place en tombant contre les futurs vainqueurs, la Team Vitality.
    
-"
Qui a été désigné meilleur joueur européen de la saison ?,,"Vatira a été désigné meilleur joueur européen de la saison.
    
-"
Qui a été désigné meilleur joueur défensif lors des mondiaux ?,,"Vatira a été désigné meilleur joueur défensif lors des mondiaux.
    
-"
Quelles sont les conséquences de l'annonce de séparation de l'équipe Karmine Corp ?,,"L'équipe annonce la séparation de l'équipe, officialisée le 25 Octobre, avec les départs de Eversax, Itachi et Exotiik. Vatira reste membre du club."
Qui est devenu le nouveau coach de la Karmine en octobre 2023 ?,date de l'événement (27 octobre 2023),Victor « Ferra » Francal
Quels joueurs ont rejoint la Karmine en tant que joueurs pour les Flip & Spin ?,nom de l'équipe (Karmine),Rise et Noly
Quels joueurs ont été officialisés pour compléter l'équipe de la Karmine en décembre 2023 ?,date de l'événement (2 décembre 2023),Rise et Atow
Quels tournois la Karmine a-t-elle remporté en février et mars 2024 ?,"dates des tournois (11 et 25 février, 10 mars 20241)",les 3 Open Qualifier d'Europe consécutivement
Quelle place la Karmine a-t-elle obtenue lors du Major de Copenhague ?,nom du tournoi (Major de Copenhague),demi-finale
Qui sont les joueurs de la Karmine Corp sur Valorant ?,,"Alexis « Newzera » Humbert, Michael « mikee » Lim, Jonathan « TakaS » Paupard, Ryad « Shin » Ensaad et Amine « Amilwa » Saidi"
Qui sont les coachs de l'équipe de la Karmine Corp sur Valorant ?,,Arthur « pm » Guillermet et Ahmed « ZE1SH » El Sheikh
Quand la Karmine Corp s'est-elle lancée sur Valorant ?,,Le 5 mai 2022
Quand la Karmine Corp a-t-elle annoncé un changement d'équipe pour la saison 2023-2024 de VCT ?,,Le 10 novembre 2023
Quelle est la date du HereticsXP auquel la Karmine Corp a participé en pré-saison ?,,15 décembre 2023
Contre quelle équipe la Karmine Corp a gagné son showmatch lors du HereticsXP en pré-saison ?,,la nouvelle équipe d'Heretics
Combien de matchs la Karmine Corp a-t-elle remporté pour se qualifier pour les Masters de Madrid ?,,7 matchs
Contre quelle équipe la Karmine Corp a-t-elle débuté lors des Masters de Madrid ?,,FPX
Quels sont les résultats des matchs de la Karmine Corp contre Sentinels lors des Masters de Madrid ?,,défaite 0-2
Quelles équipes se sont qualifiées pour les Masters de Madrid ?,,Karmine Corp et Heretics
Qui sont les membres de l'équipe Karmine Corp participant à l'édition 2023 des Game Changers EMEA?,2023,"Asma « LiriLia » Boughida, Léa « matriix » Ransquin, Mélina « Mel » Houssein, Mathilde « Nelo » Beltoise et Nouhara « Ninou » Marcos Oraha"
Qui sont les coachs de l'équipe Karmine Corp participant à l'édition 2023 des Game Changers EMEA?,2023,Mathieu « LaAw » Plantin et Emma « Emash » Beziaud Le Pochat
Quel jeu la Karmine Corp a-t-elle annoncé se lancer dessus le samedi 21 janvier 2023?,Super Smash Bros. Ultimate,Super Smash Bros. Ultimate
Qui est le premier joueur ayant rejoint les rangs du Blue Wall sur Super Smash Bros. Ultimate?,Pedro « Kurama » Alonso Jr.,Pedro « Kurama » Alonso Jr.
Quels étaient les évènements physiques organisés en France ?,Pays (France),"- Palais des congrès de Paris - Karmine Corp Xperience (26 juillet 2021)
        - Carrousel du Louvre - Showmatch Retour KCORP VS KOI (8 janvier 2022)
        - Palais des congrès de Nice - LFL DAY'S (2 et 3 février 2022)
        - Palais omnisports de Paris-Bercy - Karmine Corp Xperience 2 (21 juin 2022)
        - La Seine musicale - LFL DAY'S (16 février 2023)
        - Palais Nikaïa - LFL DAY'S (5 et 6 juillet 2023)
        - Sud de France Arena - Finale European Masters (8 septembre 2023)
        - Paris la Défense Aréna - Karmine Corp Xperience 3 (16 septembre 2023)
        - Palais Nikaïa - LFL DAY'S (7 et 8 février 2024)"
Quel était l'évènement avec la plus grande affluence ?,,Karmine Corp Xperience 3 à Paris la Défense Aréna le 16 septembre 2023 avec 28 000 personnes
Quels étaient les évènements organisés en Espagne ?,Pays (Espagne),Palau Sant Jordi - Showmatch Aller KCORP VS KOI le 15 décembre 2021
Quels sont les membres de l'équipe League of Legends LEC de Karmine Corp ?,,"Canna (Toplaner), Closer (Jungler), Vladi (Midlaner), Upset (ADC), Targamas (Support), Reha (Head Coach), Apples (Assistant Coach), Shaves (Assistant Coach), Clément Thillier (Performance Coach)"
Quel est le rôle de Maynter dans l'équipe League of Legends LFL de Karmine Corp Blue ?,,Maynter est le Toplaner.
Qui est le Head Coach de l'équipe League of Legends LFL de Karmine Corp Blue ?,,Wadi (Wadi Benarbia)
Quels sont les membres actuels de l'équipe Rocket League ?,,"- Tristan Soyez (Atow), joueur, de nationalité belge, a rejoint l'équipe le 2 décembre 2023
    - Axel Touret (Vatira), joueur, de nationalité française, a rejoint l'équipe le 2 octobre 2022
    - Finlay Ferguson (rise), joueur, de nationalité anglaise, a rejoint l'équipe le 2 décembre 2023
    - Victor Francal (Ferra), coach, de nationalité française, a rejoint l'équipe le 2 décembre 2023
    - Jordi Nouvellet (Jordi), performance coach, de nationalité française, a rejoint l'équipe le 19 janvier 2024"
Qui sont les anciens joueurs de la Karmine Corp sur Rocket League ?,,"- Benjamin Wagner (Eversax), coach, a quitté l'équipe le 16 septembre 2023, après avoir rejoint le 19 avril 2022
    - Brice Bigeard (ExoTiiK), joueur, a quitté l'équipe le 16 septembre 2023, après avoir rejoint le 2 octobre 2022
    - Amine Benayachi (itachi), joueur, a quitté l'équipe le 16 septembre 2023, après avoir rejoint le 26 juillet 2021
    - Joseph Kidd (Noly), joueur, a quitté l'équipe le 24 septembre 2022, après avoir rejoint le 19 avril 2022
    - Maëllo Ernst (AztraL), joueur, a quitté l'équipe le 21 septembre 2022, après avoir rejoint le 26 juillet 2021
    - Marc Bosch Plujà (Stake), joueur, a quitté l'équipe le 17 avril 2022, après avoir rejoint le 26 juillet 2021"
Quel joueur de la Karmine Corp a joué à Super Smash Bros. Ultimate et quand ?,Karmine Corp,Le joueur Kurama a joué à Super Smash Bros. Ultimate du 21 janvier 2023 au 19 décembre 2023.
Qui est le joueur de Fortnite de nationalité russe et quand est-il entré dans l'équipe ?,Nationalité russe,Malibuca est le joueur russe de l'équipe Fortnite et il est entré le 9 mai 2024.
Qui est le coach de l'équipe Fortnite et de quelle nationalité est-il ?,Equipe Fortnite,Oslo est le coach de l'équipe Fortnite et il est de nationalité française.
Quelle est la nationalité du joueur JDCR et dans quelle équipe joue-t-il ?,Joueur JDCR,JDCR est de nationalité coréenne et joue dans l'équipe Tekken 8.
Qui est le joueur français de l'équipe Street Fighter 6 et quand a-t-il rejoint l'équipe ?,Equipe Street Fighter 6,Kilzyou est le joueur français de l'équipe Street Fighter 6 et il a rejoint le 29 mai 2024.
Quels événements a remportés la personne en 2023 ?,,"Winter Open, Winter Cup, Olympic Esports Week Showmatch, Flip & Spin, TMWT World Championship, Maji Mondays, XPEvo Cup"
Quels événements a remportés la personne en 2024 ?,,"Open Qualifier #1, Open Qualifier #2, Open Qualifier #3, VCT EMEA Kickoff, VCT Game Changers EMEA Contenders, FNCS, Vainqueur Community Cup: Europe, Vainqueur Major 2, Vainqueur Major 3: North America - Qualifier 1, Vainqueur Major 3 - Semi-Finals 2: Europe, ESL Europe Regional"
Quels sont les jeux vidéo dans lesquels la personne a remporté des tournois ?,,"Trackmania (3), Super Smash Bros. Ultimate (3), Valorant (2), Fortnite (12), Street Fighter 6 (2)"
Quelle structure a le plus de participation en finale des Amazon European Masters ?,,League of Legends
Quelle structure est la plus titrée des Amazon European Masters ?,,League of Legends
Combien de fois la seule structure ayant remporté trois fois de suite les Amazon European Masters a-t-elle réalisé cet exploit ?,,1 fois
Quelle structure est la seule à s'être qualifiée trois fois de suite pour la finale des Amazon European Masters ?,,League of Legends
Quelle structure est la seule à avoir remporté deux fois de suite les Amazon European Masters ?,,League of Legends
Quelle structure est la seule à s'être qualifiée deux fois de suite pour la finale des Amazon European Masters ?,,League of Legends
Quelle équipe a ses Arènes à Evry-Courcouronnes ?,Aucune information supplémentaire nécessaire,La Karmine Corp
Quel est le nom du champion du monde de TFT en 2020 ?,Aucune information supplémentaire nécessaire,Emre « Double61 » Demitras
Qui est l'auteur de l'article sur la Karmine Corp dans Le Figaro en mars 2022 ?,Aucune information supplémentaire nécessaire,Tom Prevot
Quand est-ce que la Kameto Corp a rejoint la Division 2 en esport - League of Legends ?,Aucune information supplémentaire nécessaire,Le 1er juin 2021
"Qui s'allie à la Kameto Corp pour rentrer en LFL avec Karmine Corp, selon l'article de Dexerto ?",Aucune information supplémentaire nécessaire,Prime
Quels sont les noms des champions du monde de TrackMania selon l'article de L'Équipe ?,TrackMania,Breen et Otaaaq
Quelle équipe a remporté le championnat du monde sur TrackMania selon BFMTV ?,TrackMania,La Karmine Corp
Qui a déclaré : « On a voulu voir plus haut avec Prime » selon l'article de L'Équipe du 20 novembre 2020 ?,Paul Arrivé,Kameto
Quelle équipe a remporté le segment de printemps de la LFL pour League of Legends selon La Provence ?,League of Legends,La Karmine Corp
Quel événement League of Legends a été remporté par la Karmine Corp selon l'article de L'Équipe du 2 mai 2021 ?,League of Legends,Les European Masters
Quel journal a publié un article sur la victoire de la Karmine Corp aux Masters européens de League of Legends ?,Le Monde,Le Monde
Quel est le nom de l'équipe qui a remporté les European Masters Summer split 2021?,European Masters Summer split 2021,La Karmine Corp
Quel est le titre de l'article cité du journal L'Équipe datant du 15 septembre 2023?,15 septembre 2023,"""League of Legends : la Karmine invincible"""
"Quelle est la date de consultation de l'article ""E-sport : le club français Karmine Corp va intégrer l’élite européenne de « League of Legends »"" du journal Le Monde?","""E-sport : le club français Karmine Corp va intégrer l’élite européenne de « League of Legends »""",8 janvier 2024
Quel événement a été annoncé pour la fin d'année par la Karmine Corp ?,date de consultation du texte,KC en LEC
Où s'est déroulé un événement ultra réussi de la Karmine Corp ?,date de consultation du texte,à Bercy
Qui est le cofondateur de la Karmine Corp ?,date de consultation du texte,Kameto
Quel est le nom du club d'e-sport mentionné dans l'article du Figaro ?,date de consultation du texte,Karmine Corp
Quel est le média qui a publié l'article sur l'événement de la Karmine Corp à La Défense Arena ?,date de consultation du texte,Le Figaro
Qui a écrit l'article sur le tour de force de la Karmine Corp à Bercy ?,date de consultation du texte,Paul Arrivé
"Quand la Karmine Corp prévoit-elle de s'installer dans les ""Arènes de l'Agora"" à Evry ?",,En 2024
Quelle est la date de publication de l'article sur Breakflip concernant le nouveau projet de la Karmine Blue Stars ?,,Le 16 septembre 2023
Sur quel média Corentin Parbaud a-t-il publié un article sur les jeunes de la Karmine impressionnants ?,,Sur L'Équipe
Quelle est la source de l'article concernant la conservation de Team Oplon en Division 2 de la LFL en 2021 ?,,Millenium FR
Quelle est la date de consultation de l'article sur nrj.fr annonçant Adam comme premier joueur de la Karmine Corp pour son entrée en LFL ?,,Le 1er mars 2021
Qui a annoncé Adam comme premier joueur de la Karmine Corp pour son entrée en LFL ?,,nrj.fr
Quand La Karmine Corp a dévoilé son équipe League of Legends pour la LFL?,,La Karmine Corp a dévoilé son équipe League of Legends pour la LFL sur Dexerto.fr le 24 décembre 2020.
Quand La Karmine Corp a été championne de LFL?,,La Karmine Corp a été championne de LFL sur Eclypsia le 25 mars 2021.
Qui a félicité l'équipe de Kameto et Prime?,,Le Président Macron a félicité l'équipe de Kameto et Prime sur Breakflip.
Quelle équipe a remporté les European Masters?,,"La Karmine Corp a remporté les European Masters, comme indiqué dans L'Équipe."
Quel joueur a quitté la Karmine Corp ?,,Adam
Quel joueur a rejoint la Karmine Corp ?,,Cabochard
Qui a remporté le championnat de France de la LFL Summer 2021 ?,,Misfits Premier
Quel événement a vu la Karmine Corp renverser Vitality ?,,European Masters
Qui sont les autres chances françaises des European Masters ?,Akabane et Hantera,Akabane et Hantera
Quelle équipe a rejoint le dernier carré des European Masters ?,,Karmine Corp
Quelle équipe a remporté les European Masters?,European Masters,Karmine Corp
"Qui a déclaré ""Je vais détruire Cinkrof dans la jungle""?",Cinkrof,BIG Akabane
Quelle équipe a battu Misfits Premier en demi-finale des European Masters?,Misfits Premier,Fnatic Rising
Quand la Karmine Corp est devenue championne d'Europe?,Karmine Corp,19 septembre 2021
Quel média a rapporté que la Karmine Corp a remporté un doublé inédit?,Karmine Corp,L'Équipe
Quelle équipe a renversé la Karmine Corp?,Karmine Corp,Misfits Premier
Quelles annonces ont été faites pour les 1 an de la Karmine Corp?,Karmine Corp,Annonces pour les 1 an
Quel est le nom de l'équipe mentionnée dans l'article ?,,Karmine Corp
Qui sont les joueurs Cinkrof et Targamas ?,joueurs,Ils sont de retour à la Karmine Corp.
Quelle équipe la Karmine Corp a-t-elle battue pour se qualifier en finale de la LFL Summer Split 2023 ?,BK ROG,La Karmine Corp a battu BK ROG.
"Quelle est la date de publication de l'article intitulé ""Esport - League of Legends : Caliste, le plus beau des cadeaux"" ?",,4 août 2023
